Country,Animal fats,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetal Products,Death rate
Maldives,0.0029,14.2704,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.7569,0.1819,35.7208,0.009981516
Mali,0.0444,10.1637,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0.2374,0.5144,39.8262,0.001669053
Malta,0.2062,13.6092,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0.1236,0.486,36.3899,0.053448276
Mauritania,0.1127,15.0193,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,1.5716,34.9779,0.009139785
Mauritius,0.0074,9.27,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0.0369,2.049,40.7175,0.000790514
Mexico,0.1672,15.1527,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0.1121,0.6856,34.8456,0.129731126
Mongolia,0.3846,25.8904,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0.0137,0.555,24.1046,5.95E-05
Montenegro,0.2067,22.8328,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0.0948,0.4258,27.1612,0.134405145
Morocco,0.1449,8.4754,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0.2549,0.8168,41.5224,0.023311638
Mozambique,0.0297,4.0111,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0.2011,0.7509,45.9864,0.00144709
Myanmar,0.1751,13.5188,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0.2913,0.6322,36.4807,NA
Namibia,0.1134,9.6094,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,0.0114,0.9531,40.38,0.014600551
